"","datetime","city","country","shape"
"25385",1976-12-06,"davie","us","changing"
"32048",2003-02-27,"davie","us","changing"
"83223",2012-09-15,"davie","us","changing"
"5005",2008-10-25,"davis","us","changing"
"31711",1999-02-25,"dayton","us","changing"
"42116",1976-04-20,"dayton","us","changing"
"4186",1999-10-22,"daytona beach","us","changing"
"57917",2011-06-26,"dayville","us","changing"
"20706",1998-12-17,"decatur","us","changing"
"49721",2000-05-28,"decatur","us","changing"
"57629",2005-06-26,"decatur","us","changing"
"69171",2010-07-04,"deer park","us","changing"
"67710",2003-07-30,"delaware","us","changing"
"50991",1999-05-06,"delhi","us","changing"
"12444",2010-01-01,"delhi (india)",NA,"changing"
"13346",2007-11-02,"deline (canada)","ca","changing"
"29561",1971-02-15,"deltona","us","changing"
"24654",1995-12-04,"deming","us","changing"
"24670",1999-12-04,"deming","us","changing"
"28697",2014-02-11,"deming","us","changing"
"45222",2005-04-07,"deming (somewhere near)","us","changing"
"36417",2007-03-21,"denton","us","changing"
"60119",2007-06-06,"denton","us","changing"
"182",2007-10-10,"denver","us","changing"
"4732",2005-10-24,"denver","us","changing"
"4995",2007-10-25,"denver","us","changing"
"15002",2011-11-28,"denver","us","changing"
"18621",2008-01-20,"denver","us","changing"
"21861",2008-12-02,"denver","us","changing"
"38560",2004-03-04,"denver","us","changing"
"41345",2001-04-16,"denver","us","changing"
"86334",2008-09-26,"denver","us","changing"
"40306",2014-04-01,"deptford",NA,"changing"
"37562",2005-03-27,"derry","us","changing"
"6566",2009-10-31,"derry (northern ireland)",NA,"changing"
"48779",2007-05-22,"des moines","us","changing"
"3444",1989-10-20,"diamond bar (on the 57)","us","changing"
"25986",2012-12-07,"dibrugarh (india)",NA,"changing"
"18812",2005-12-10,"dickensonville","us","changing"
"11522",2001-11-18,"dickinson","us","changing"
"11528",2001-11-18,"dickinson","us","changing"
"41360",2004-04-16,"dingmans ferry","us","changing"
"3171",2013-10-18,"dinosaur colorado",NA,"changing"
"353",2000-10-11,"dolgellau (uk/wales)","gb","changing"
"18835",2007-12-10,"dora","us","changing"
"38140",2013-03-30,"dorchester","us","changing"
"42023",2009-04-19,"dover","us","changing"
"67424",2001-07-29,"downers grove","us","changing"
"25777",2003-01-27,"doylestown","us","changing"
"55244",2011-06-16,"doylestown","us","changing"
"59460",2004-06-03,"doylestown","us","changing"
"82243",2002-09-13,"dubai (uae)",NA,"changing"
"37730",2007-03-28,"duluth","us","changing"
"20339",2003-12-15,"duncan","us","changing"
"62391",2004-07-13,"dungannon (northern ireland)",NA,"changing"
"8285",2004-01-10,"dunstable (uk/england)","gb","changing"
"76381",2002-08-22,"durant","us","changing"
"58709",1969-06-30,"durban (south africa)",NA,"changing"
"31226",2007-02-22,"durham","us","changing"
"31446",2008-02-23,"dutton","us","changing"
"63604",2005-07-15,"eagle butte","us","changing"
"3504",2001-10-20,"eagle rock","us","changing"
"74682",2006-08-17,"east chicago","us","changing"
"82488",2003-09-14,"east falmouth","us","changing"
"48794",2009-05-22,"east helena","us","changing"
"71414",2002-08-10,"east jordan","us","changing"
"26700",1987-01-30,"east meadow","us","changing"
"35994",2005-03-19,"east yorkshire (uk/england)",NA,"changing"
"69257",2010-07-04,"eastport","us","changing"
"44368",2009-04-30,"edenvale (johannesburg)  (south africa)",NA,"changing"
"51878",2010-06-10,"edinburgh (uk/scotland)","gb","changing"
"53611",2013-06-12,"edmonds","us","changing"
"56298",2012-06-20,"edmonton (canada)","ca","changing"
"51854",2008-06-10,"edwardsburg","us","changing"
"5399",2005-10-27,"edwardsville","us","changing"
"22703",2000-12-25,"el baul (venezuela)",NA,"changing"
"12365",2009-01-01,"el cajon","us","changing"
"2907",2011-10-17,"el dorado hills","us","changing"
"59779",2004-06-05,"el dorado hills","us","changing"
"34184",2009-03-01,"el paso","us","changing"
"36950",2010-03-23,"el paso","us","changing"
"38567",2004-03-04,"el paso","us","changing"
"54903",2004-06-16,"el paso","us","changing"
"60095",2006-06-06,"el paso","us","changing"
"22079",2007-12-22,"el reno","us","changing"
"68394",2011-07-03,"eldorado","us","changing"
"25679",2013-01-26,"elgin","us","changing"
"19607",1996-12-12,"elizabeth","us","changing"
"78690",2004-08-31,"elkins","us","changing"
"28676",2011-02-11,"elkton","us","changing"
"71366",2000-08-10,"elkton","us","changing"
"22443",2003-12-24,"elliot lake (canada)","ca","changing"
"26274",2009-12-09,"elmira","us","changing"
"28195",2014-01-08,"encinitas","us","changing"
"67799",2010-07-30,"enfield","us","changing"
"26031",2014-01-27,"englewood","us","changing"
"62454",2008-07-13,"englewood","us","changing"
"77571",2012-08-26,"ennis","us","changing"
"34437",2010-03-12,"erie","us","changing"
"34438",2010-03-12,"erie","us","changing"
"53782",2011-06-13,"erin",NA,"changing"
"56892",2011-06-22,"erin",NA,"changing"
"26451",2002-01-29,"ermelo (netherlands)",NA,"changing"
"36612",2011-03-02,"escondido","us","changing"
"82928",1998-09-15,"escondido","us","changing"
"72757",2010-08-12,"essex (canada)","ca","changing"
"74205",2010-08-15,"essex (canada)","ca","changing"
"82947",1999-09-15,"estacada (near)","us","changing"
"19805",1991-12-13,"etowah","us","changing"
"17393",2004-01-17,"eugene","us","changing"
"22754",2004-12-25,"eugene","us","changing"
"26979",2014-01-31,"eugene","us","changing"
"77632",2000-08-27,"eugene","us","changing"
"83363",2005-09-16,"eugene","us","changing"
"55218",2008-06-16,"euharlee","us","changing"
"48488",2010-05-21,"euless","us","changing"
"15772",2012-01-13,"eureka","us","changing"
"28868",2008-02-01,"eustis","us","changing"
"66726",2002-07-26,"evans","us","changing"
"38143",2013-03-30,"everett","us","changing"
"78384",2003-08-30,"everett","us","changing"
"84662",1999-09-21,"everett","us","changing"
"24795",2007-01-24,"exeter","us","changing"
"67501",2006-07-29,"exeter","us","changing"
"71544",2010-08-10,"exeter (uk/england)","gb","changing"
"2812",2004-10-17,"fairfax","us","changing"
"42280",2010-04-20,"fairfield (east of)","us","changing"
"5552",2000-10-28,"fairview","us","changing"
"21579",2004-12-21,"fairview","us","changing"
"39409",2013-03-08,"fairview","us","changing"
"35197",2003-03-15,"faisalabad (pakistan)",NA,"changing"
"39475",2003-03-09,"fakenham&#44 norfolk  (uk/england)",NA,"changing"
"85020",2006-09-02,"falcon","us","changing"
"46333",2005-05-01,"fallbrook","us","changing"
"22710",2000-12-25,"fallston","us","changing"
"49426",2007-05-26,"fargo","us","changing"
"46403",2011-05-01,"farmington","us","changing"
"49812",2009-05-29,"farmington","us","changing"
"55358",2000-06-17,"farmington hills","us","changing"
"63826",1982-07-16,"fayetteville","us","changing"
"68595",1996-07-04,"fayetteville","us","changing"
"81325",2013-09-11,"fayetteville","us","changing"
"85586",2002-09-23,"fayetteville","us","changing"
"86209",2013-09-25,"fayetteville","us","changing"
"70900",2006-07-08,"federal way","us","changing"
"76016",2010-08-21,"felton","us","changing"
"87024",2008-09-29,"felton","us","changing"
"75977",2008-08-21,"fenton","us","changing"
"20578",2006-12-16,"fergus/guelph (canada)",NA,"changing"
"15193",2009-11-29,"ferndale","us","changing"
"10338",1979-11-15,"finland",NA,"changing"
"1608",2013-10-13,"fishers","us","changing"
"15848",2013-11-03,"flagstaff","us","changing"
"53534",2008-06-12,"flint","us","changing"
